,Table for vehicles,,,,,,,,,,,,,,,,Table for pedestrians (Total),,,,,,,,,,,,
,,4:00-4:05,4:05-4:10,4:10-4:15,4:15-4:20,4:20-4:25,4:25-4:30,4:30-4:35,4:35-4:40,4:40-4:45,4:45-4:50,4:50-4:55,4:55-5:00,,,,,4:00-4:05,4:05-4:10,4:10-4:15,4:15-4:20,4:20-4:25,4:25-4:30,4:30-4:35,4:35-4:40,4:40-4:45,4:45-4:50,4:50-4:55,4:55-5:00
CAMERA 1,NORTH-EAST,1,5,1,2,4,3,1,2,5,1,3,2,,,CAMERA 1,NORTH-EAST,3,4,2,2,4,1,0,3,4,6,2,2
,NORTH-WEST,8,7,5,6,7,5,9,8,6,7,5,7,,,,NORTH-WEST,1,5,3,4,2,4,6,5,4,2,3,4
,NORTH-SOUTH,37,34,36,35,33,38,34,32,37,35,36,33,,,,NORTH-SOUTH,14,24,22,19,17,24,21,27,34,18,26,27
,WEST-SOUTH,2,1,2,3,1,2,4,2,3,1,2,3,,,,WEST-SOUTH,6,4,2,3,1,4,2,6,7,5,4,5
,WEST-NORTH,,,,,,,,,,,,,,,,WEST-NORTH,,,,,,,,,,,,
,WEST-EAST,12,8,14,10,15,9,11,13,7,12,10,14,,,,WEST-EAST,4,7,12,7,3,9,6,10,14,6,7,6
CAMERA 2,EAST-NORTH,4,4,5,4,5,4,8,2,4,5,7,4,,,CAMERA 2,EAST-NORTH,2,4,6,5,6,8,4,6,8,7,6,8
,EAST-SOUTH,7,5,2,6,2,4,5,4,8,5,2,4,,,,EAST-SOUTH,5,4,6,8,2,4,8,9,7,3,4,7
,EAST-WEST,15,11,14,9,15,5,14,12,15,12,4,13,,,,EAST-WEST,9,4,8,9,7,8,5,8,4,5,6,8
,SOUTH-EAST,,,,,,,,,,,,,,,,SOUTH-EAST,,,,,,,,,,,,
,SOUTH-WEST,,,,,,,,,,,,,,,,SOUTH-WEST,,,,,,,,,,,,
,SOUTH-NORTH,,,,,,,,,,,,,,,,SOUTH-NORTH,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Table for cyclists (cyclists includes bike, ebike, and scooter)",,,,,,,,,,,,,,,,Table for pedestrians (Older),,,,,,,,,,,,
,,4:00-4:05,4:05-4:10,4:10-4:15,4:15-4:20,4:20-4:25,4:25-4:30,4:30-4:35,4:35-4:40,4:40-4:45,4:45-4:50,4:50-4:55,4:55-5:00,,,,,4:00-4:05,4:05-4:10,4:10-4:15,4:15-4:20,4:20-4:25,4:25-4:30,4:30-4:35,4:35-4:40,4:40-4:45,4:45-4:50,4:50-4:55,4:55-5:00
CAMERA 1,NORTH-EAST,1,0,2,1,2,0,1,0,2,1,2,0,,,CAMERA 1,NORTH-EAST,0,0,0,0,1,0,0,3,0,0,1,0
,NORTH-WEST,1,0,2,0,1,0,1,1,2,0,1,0,,,,NORTH-WEST,0,0,0,2,0,2,0,0,0,2,0,0
,NORTH-SOUTH,1,1,1,1,1,0,1,0,1,1,1,0,,,,NORTH-SOUTH,1,2,0,0,1,0,0,0,0,2,0,3
,WEST-SOUTH,1,1,1,2,1,0,0,2,1,1,1,1,,,,WEST-SOUTH,0,0,0,0,0,1,0,0,2,0,0,0
,WEST-NORTH,,,,,,,,,,,,,,,,WEST-NORTH,,,,,,,,,,,,
,WEST-EAST,1,3,0,3,2,0,2,2,0,3,2,0,,,,WEST-EAST,0,0,0,0,0,0,1,0,0,0,1,0
CAMERA 2,EAST-NORTH,0,1,0,0,1,1,0,2,0,0,1,0,,,CAMERA 2,EAST-NORTH,0,0,0,0,1,0,0,1,0,0,0,2
,EAST-SOUTH,1,1,0,1,0,2,0,0,1,0,1,0,,,,EAST-SOUTH,0,0,1,0,0,0,1,0,0,1,0,0
,EAST-WEST,2,0,1,0,1,0,0,1,2,0,1,1,,,,EAST-WEST,1,0,0,0,1,0,0,2,0,0,2,2
,SOUTH-EAST,,,,,,,,,,,,,,,,SOUTH-EAST,,,,,,,,,,,,
,SOUTH-WEST,,,,,,,,,,,,,,,,SOUTH-WEST,,,,,,,,,,,,
,SOUTH-NORTH,,,,,,,,,,,,,,,,SOUTH-NORTH,,,,,,,,,,,,